step,event_index,event_type,amm,trade_side,amount_x,amount_y,fair_price,edge,submission_spot,internal_price_estimate,bid_fee_bps,ask_fee_bps,probable_arb
15,3,retail,normalizer,sell,0.09156753527159367,9.170318027892467,100.05654516501023,0.0,100.0894563172196,99.96539178501145,21.16050089123744,11.99957955246535,False
17,0,retail,submission,sell,0.19608040624407863,19.687780563644083,100.07719565982246,0.06460338289794976,99.91862512250407,99.96172635459402,23.386680071535164,11.381504827632927,False
17,1,retail,normalizer,sell,0.18123135229576803,18.199569930572018,100.07719565982246,0.0,99.91862512250407,99.96172635459402,23.386680071535164,11.381504827632927,False
17,2,retail,submission,buy,0.2820949705111939,28.205544004384137,100.07719565982246,0.025729554116466602,99.91862512250407,99.96172635459402,23.386680071535164,11.381504827632927,False
17,3,retail,normalizer,buy,0.14887837604609722,14.865932644777786,100.07719565982246,0.0,99.91862512250407,99.96172635459402,23.386680071535164,11.381504827632927,False
18,0,arb,submission,sell,0.05151329505733315,5.1556572780827,100.13557486812107,-0.002656135834495643,100.02160551524317,100.05197161381706,25.463734928419022,13.460092336647374,True
18,1,retail,submission,sell,0.18263511185409698,18.32555092335006,100.13557486812107,0.037279006736469,99.53349650677177,100.04910919821707,15.806821407636683,17.96899853934922,False
18,2,retail,normalizer,sell,0.10835060987542988,10.879959617621537,100.13557486812107,0.0,99.53349650677177,100.04910919821707,15.806821407636683,17.96899853934922,False
18,3,retail,submission,buy,0.3920955461951175,39.1107752767839,100.13557486812107,0.1519376446941152,99.53349650677177,100.04910919821707,15.806821407636683,17.96899853934922,False
18,4,retail,normalizer,buy,0.2831333370602834,28.21126128409196,100.13557486812107,0.0,99.53349650677177,100.04910919821707,15.806821407636683,17.96899853934922,False
18,5,retail,submission,sell,0.055746952155232066,5.5646289639704305,100.13557486812107,-0.017624137239373283,99.53349650677177,100.04910919821707,15.806821407636683,17.96899853934922,False
18,6,retail,submission,buy,0.09230481356467436,9.178578809009196,100.13557486812107,0.06441676038421207,99.53349650677177,100.04910919821707,15.806821407636683,17.96899853934922,False
18,7,retail,normalizer,buy,0.0062700383480668725,0.6229440186034481,100.13557486812107,0.0,99.53349650677177,100.04910919821707,15.806821407636683,17.96899853934922,False
19,0,arb,submission,sell,0.20083027641950935,20.06552666444517,100.11344546636744,-0.0402842618748771,99.93355163083197,100.0322555917771,18.005923250318606,14.968998539349219,True
19,1,arb,normalizer,sell,0.08427404444177,8.429867404036527,100.11344546636744,0.0,99.93355163083197,100.0322555917771,18.005923250318606,14.968998539349219,True
19,2,retail,submission,sell,0.02110741209678224,2.1129466989611285,100.11344546636744,-0.00018905092622478747,99.97573773710776,100.03155223406813,15.005923250318606,17.96899853934922,False
19,3,retail,normalizer,sell,0.006083382975504037,0.6090654469125791,100.11344546636744,0.0,99.97573773710776,100.03155223406813,15.005923250318606,17.96899853934922,False
21,0,retail,submission,buy,0.045449753231295256,4.5349963068929355,99.98132429804349,0.009130210191245602,99.88506938075615,99.89160604612987,18.005923250318606,14.968998539349219,True
22,0,retail,submission,sell,0.4881763644667245,49.07406084426965,99.88417390966177,0.3129679572889117,100.86691914867919,99.89185465280741,15.005923250318606,17.96899853934922,False
22,1,retail,normalizer,sell,0.44312847090135676,44.565822216941285,99.88417390966177,0.0,100.86691914867919,99.89185465280741,15.005923250318606,17.96899853934922,False
23,0,arb,submission,buy,0.39249455767505154,39.375327238358295,99.92738125027716,-0.15437393490451967,100.07755686401524,100.0065607386507,18.005923250318606,14.968998539349219,True
