step,fair_price,submission_spot,normalizer_spot,internal_price_estimate,p_low,p_high,bid_fee_bps,ask_fee_bps,lambda_hat,arb_hat,stale_hat,inventory_signed
0,100.0,100.0,100.02961315488068,100.0,99.7,100.29999999999998,37.0,37.0,0.8,0.5,0.0,0.0
1,99.83181263869632,100.0,100.02961315488068,100.0,99.7,100.29999999999998,37.0,37.0,0.8,0.5,0.0,0.0
2,99.67839436360673,99.72938884301101,99.65936820891862,99.99998649994015,99.7,100.29999999999998,35.51136444581642,35.478848729211656,0.8160000000000001,0.45,0.00016257868249719263,0.001354821525198733
3,99.8426241003642,99.72938884301101,99.65936820891862,99.99998649994015,99.7,100.29999999999998,35.51136444581642,35.478848729211656,0.8160000000000001,0.45,0.00016257868249719263,0.001354821525198733
4,99.81775621291175,99.42099518896785,99.3660357769265,99.99997340488379,99.38956353326559,100.61328015242806,35.65297690928417,35.58329779138618,0.7907200000000001,0.405,0.0005012205299329648,0.0029032965790829726
5,99.83778655022516,99.48253078126021,99.53827319057449,99.86007139637357,99.12784594397806,99.83778655022515,35.08608345283931,35.04062917129719,0.8074624,0.4645,0.0006984189775863498,0.0018939283975883384
6,99.88589919778433,99.32488792124136,99.27428729489552,99.71888615930112,99.18666025859991,99.88589919778434,34.64130682695083,32.05695323994767,1.05983501824,0.393718,0.0008403212833672297,0.001979455222248417
7,99.90120370558397,99.58095088400353,99.6015000944672,99.74114673224459,99.2359894566343,99.90120370558397,31.64130682695083,32.04150678005172,1.0550482167808002,0.45434620000000003,0.0008863464355474065,0.0008037034034704591
8,100.04203460294946,99.7214848499474,99.7419084991406,99.88088212962445,99.40595304000978,100.04203460294946,31.445993569640006,31.4268277913472,1.0506443594383361,0.50891158,0.0009289945612492721,0.0007985740955334999
9,100.0454739906732,99.63741547057165,99.62914665786678,99.87493436648586,99.09282700133484,100.35816006777024,29.41171528983184,29.3831433567831,1.2343423923329502,0.34809552072000005,0.0009742834351794247,0.0011904972103641235
10,100.06520297664015,99.66868917705165,99.66752035448273,99.92267143023845,99.47773580233103,100.06520297664017,31.24482175397457,27.09856516044094,1.366164100738125,0.31409733617248004,0.0010234905067955163,0.0012725112570705604
11,99.91246127540013,99.62929380111775,99.61685441172389,99.91811904602015,99.17384109902366,100.3718290469122,32.722946223410496,24.098565160440945,1.3368709726790753,0.28268760255523206,0.0011357693898418507,0.0014474016013609889
12,99.99262688241636,99.8213245122397,99.7487656983336,99.85148887039287,99.42524218165548,99.99262688241636,22.615050267608694,19.126494496813326,2.7049252368501127,0.11824183794519134,0.0009447847002535898,0.00015106892942583032
13,99.95253665671771,99.8213245122397,99.7487656983336,99.85148887039287,99.42524218165548,99.99262688241636,22.615050267608694,19.126494496813326,2.7049252368501127,0.11824183794519134,0.0009447847002535898,0.00015106892942583032
14,100.03152588873687,99.840200645795,99.7487656983336,99.84719715197045,99.06199434801371,100.35928722813465,19.61505026760869,17.99957955246535,2.528531217902104,0.10641765415067221,0.0008923020935866234,3.503729455438366e-05
15,100.05654516501023,100.0894563172196,99.93909238493087,99.96539178501145,99.68053943656207,100.05654516501023,21.16050089123744,11.99957955246535,2.29487400196655,0.1487896754390598,0.0008762932016947247,-0.0006201525900775126
16,99.97388834514528,100.0894563172196,99.93909238493087,99.96539178501145,99.68053943656207,100.05654516501023,21.16050089123744,11.99957955246535,2.29487400196655,0.1487896754390598,0.0008762932016947247,-0.0006201525900775126
17,100.07719565982246,99.91862512250407,100.00466393366095,99.96172635459402,99.3522276394773,100.38718439609443,23.386680071535164,11.381504827632927,1.9860015838111964,0.10177213800031691,0.0010803219849369523,0.0002156351625932328
