step,fair_price,submission_spot,internal_pool_price_y_per_x,internal_pool_bid_side_price_y_per_x,internal_pool_ask_side_price_y_per_x,normalizer_spot,internal_price_estimate,p_low,p_high,bid_fee_bps,ask_fee_bps,lambda_hat,arb_hat,stale_hat,inventory_signed,required_no_arb_bid_bps,required_no_arb_ask_bps
0,100.0,100.0198226225385,100.0198226225385,99.72976513693314,100.31072372133036,100.00979155016637,100.14009804574935,99.72976513693314,100.29999999999998,28.999999999999996,28.999999999999996,0.8160000000000001,0.55,7.210760513024374e-05,0.0006008966370954095,0.0,12.010715543329109
1,99.83181263869632,100.0198226225385,100.0198226225385,99.72976513693314,100.31072372133036,100.00979155016637,100.14009804574935,99.72976513693314,100.29999999999998,28.999999999999996,28.999999999999996,0.8160000000000001,0.55,7.210760513024374e-05,0.0006008966370954095,0.0,12.010715543329109
2,99.67839436360673,99.67348321488248,99.67348321488248,99.38443011355932,99.96337700820628,99.68348055522502,99.99974637964928,99.67839436360673,100.25905369640428,28.999999999999996,28.999999999999996,0.9247616000000001,0.45220000000000005,0.000179633755413985,0.001633985514379287,0.0,32.626399223868454
3,99.8426241003642,99.67348321488248,99.67348321488248,99.38443011355932,99.96337700820628,99.68348055522502,99.99974637964928,99.67839436360673,100.25905369640428,28.999999999999996,28.999999999999996,0.9247616000000001,0.45220000000000005,0.000179633755413985,0.001633985514379287,0.0,32.626399223868454
4,99.81775621291175,99.37261055780354,99.37261055780354,99.37261055780354,99.66162928272344,99.38257772034693,99.99880291759135,99.39398708188521,100.54593629128675,0.0,28.999999999999996,0.8907806720000001,0.40698000000000006,0.0005457569565862114,0.003140833226148987,0.0,62.61998559161208
5,99.83778655022516,99.54825696922951,99.54825696922951,99.51839249213874,99.81776493455281,99.53827319057449,99.85890254661679,99.54825696922951,99.83778655022516,2.9999999999999996,26.999999999999996,0.8995182182400001,0.4662820000000001,0.0006999531692360478,0.0015578456568034573,0.0,31.10845097083481
6,99.88589919778433,99.20478310043592,99.20478310043592,99.20478310043592,99.47336117561007,99.47344199148026,99.81329507726007,99.58632240776932,99.88589919778431,0.0,26.999999999999996,1.125894273409024,0.39493688800000004,0.0009137613857297428,0.0030575713643502694,0.0,60.965022380348174
7,99.90120370558397,99.63147045557892,99.63147045557892,99.60158101444225,99.901203705584,99.60150009446724,99.83640120106298,99.63147045557892,99.901203705584,2.9999999999999996,26.999999999999996,1.1158227315363023,0.4554431992000001,0.0009822222143746919,0.0010273872367617745,0.0,20.526655910938494
8,100.04203460294946,99.77192110952149,99.77192110952149,99.71205795685577,100.04203460294946,99.74190849914062,99.96994157133672,99.74198953318863,100.04203460294946,5.999999999999999,26.999999999999996,1.1065569130133983,0.5098988792800001,0.001042254745171351,0.0009913818723700965,0.0,19.8080001551193
9,100.0454739906732,99.56504985459574,99.56504985459574,99.56504985459574,99.83460328346109,99.74533756870119,99.96699359204163,99.42029302619746,100.36574289332412,0.0,26.999999999999996,1.2744652407784147,0.3487708334275201,0.001150369936899239,0.0020144320205559736,0.0,40.207644843874846
10,100.06520297664015,99.59457686757523,99.59457686757523,99.59457686757523,99.8642102352103,99.76500736771025,99.99973173178391,99.79502692860319,100.06520297664012,0.0,26.999999999999996,1.3949562567825906,0.3145592500644237,0.0012541498767731348,0.002029891869421738,0.0,40.51559511133229
11,99.91246127540013,99.55245217804567,99.55245217804567,99.52258644239225,99.82197150109864,99.76500736771025,99.85917105760048,99.64269762995656,99.91246127540015,2.9999999999999996,26.999999999999996,1.4814206098671872,0.29115852704406586,0.0013232221742182733,0.001538119366253576,0.0,30.715143767605646
