step,fair_price,internal_price_estimate,p_low,p_high,bid_fee_bps,ask_fee_bps,internal_times_1_minus_bid,internal_times_1_plus_ask,rel_error_bps,in_user_band,in_filter_band,status
0,100.0,100.14009804574935,99.72976513693314,100.29999999999998,28.999999999999996,28.999999999999996,99.84969176141668,100.43050433008202,14.000000000001275,True,True,ok
1,99.83181263869632,100.14009804574935,99.72976513693314,100.29999999999998,28.999999999999996,28.999999999999996,99.84969176141668,100.43050433008202,30.83289550303134,False,True,bad
2,99.67839436360673,99.99974637964928,99.67839436360673,100.25905369640428,28.999999999999996,28.999999999999996,99.7097471151483,100.28974564415026,32.18702781201051,False,True,bad
3,99.8426241003642,99.99974637964928,99.67839436360673,100.25905369640428,28.999999999999996,28.999999999999996,99.7097471151483,100.28974564415026,15.724624491114632,True,True,ok
4,99.81775621291175,99.99880291759135,99.39398708188521,100.54593629128675,0.0,28.999999999999996,99.99880291759135,100.28879944605235,18.12129635412216,False,True,bad
5,99.83778655022516,99.85890254661679,99.54825696922951,99.83778655022516,2.9999999999999996,26.999999999999996,99.82894487585281,100.12852158349264,2.1148068669372226,True,True,good
6,99.88589919778433,99.81329507726007,99.58632240776932,99.88589919778431,0.0,26.999999999999996,99.81329507726007,100.08279097396866,7.271348688892751,True,False,ok
7,99.90120370558397,99.83640120106298,99.63147045557892,99.901203705584,2.9999999999999996,26.999999999999996,99.80645028070266,100.10595948430584,6.488763778356094,True,True,good
8,100.04203460294946,99.96994157133672,99.74198953318863,100.04203460294946,5.999999999999999,26.999999999999996,99.90995960639391,100.23986041357932,7.208871799957838,True,True,good
9,100.0454739906732,99.96699359204163,99.42029302619746,100.36574289332412,0.0,26.999999999999996,99.96699359204163,100.23690447474014,7.847551065959388,True,True,good
10,100.06520297664015,99.99973173178391,99.79502692860319,100.06520297664012,0.0,26.999999999999996,99.99973173178391,100.26973100745973,6.544999731093487,True,False,ok
11,99.91246127540013,99.85917105760048,99.64269762995656,99.91246127540015,2.9999999999999996,26.999999999999996,99.8292133062832,100.12879081945599,5.335113743761257,True,True,good
12,99.99262688241636,99.91810220088652,99.69272999579688,99.99262688241636,2.9999999999999996,26.999999999999996,99.88812677022626,100.18788107682892,7.455796427120277,True,True,good
13,99.95253665671771,99.91810220088652,99.69272999579688,99.99262688241636,2.9999999999999996,26.999999999999996,99.88812677022626,100.18788107682892,3.4456742990072056,True,True,good
14,100.03152588873687,99.91810220088652,99.69272999579688,99.99262688241636,2.9999999999999996,26.999999999999996,99.88812677022626,100.18788107682892,11.345227405527682,True,False,ok
15,100.05654516501023,99.9838170069544,99.75645657531679,100.05654516501023,5.999999999999999,26.999999999999996,99.92382671675021,100.25377331287316,7.271348688897189,True,True,good
16,99.97388834514528,99.9838170069544,99.75645657531679,100.05654516501023,5.999999999999999,26.999999999999996,99.92382671675021,100.25377331287316,0.9930761907659068,True,True,good
17,100.07719565982246,99.9808922052541,99.3473385806854,100.46858371272037,9.0,0.0,99.89090940226936,99.9808922052541,9.627549981577648,False,True,good
18,100.13557486812107,100.11319714683815,100.04545285073976,100.13557486812107,0.0,71.85408934590795,100.11319714683815,100.8325514080875,2.2349921201416274,True,True,good
19,100.11344546636744,100.11319714683815,100.04545285073976,100.13557486812107,0.0,71.85408934590795,100.11319714683815,100.8325514080875,0.024803844887398424,True,True,good
