step,event_index,event_type,amm,trade_side,amount_x,amount_y,fair_price,edge,submission_spot,internal_price_estimate,bid_fee_bps,ask_fee_bps,probable_arb
12,3,retail,normalizer,sell,0.02406033369055649,2.406434074994185,99.99262688241636,0.0,99.7671550568792,99.83941996147705,22.393011723559965,23.840322146866715,False
12,4,retail,submission,sell,0.03875590980241839,3.877502102561225,99.99262688241636,0.0021968741994204954,99.7671550568792,99.83941996147705,22.393011723559965,23.840322146866715,False
12,5,retail,normalizer,sell,0.023693458060719763,2.3708708414875908,99.99262688241636,0.0,99.7671550568792,99.83941996147705,22.393011723559965,23.840322146866715,False
12,6,retail,submission,buy,0.05233042817858287,5.205249660177287,99.99262688241636,0.027407319280836617,99.7671550568792,99.83941996147705,22.393011723559965,23.840322146866715,False
12,7,retail,normalizer,buy,0.03602750382864976,3.583033840272037,99.99262688241636,0.0,99.7671550568792,99.83941996147705,22.393011723559965,23.840322146866715,False
12,8,retail,submission,sell,0.03364035439557256,3.364104473553922,99.99262688241636,0.0003170682851800777,99.7671550568792,99.83941996147705,22.393011723559965,23.840322146866715,False
12,9,retail,normalizer,sell,0.009706950258504321,0.9709469925735941,99.99262688241636,0.0,99.7671550568792,99.83941996147705,22.393011723559965,23.840322146866715,False
14,0,arb,submission,sell,0.012989046521525438,1.2991455714677604,100.03152588873687,-0.00016857192021890732,99.79304750853386,99.92046399022146,19.683915287949485,20.840322146866715,True
15,0,arb,submission,sell,0.027562461659542237,2.7570453579870513,100.05654516501023,-0.0007593319097995987,99.84802410159611,99.95918060110323,21.79724487524009,17.840322146866715,True
15,1,arb,normalizer,sell,0.010454069174514302,1.0458888398427961,100.05654516501023,0.0,99.84802410159611,99.95918060110323,21.79724487524009,17.840322146866715,True
15,2,retail,submission,sell,0.10654141418162055,10.668319592993452,100.05654516501023,0.008153772986073449,100.06096134321933,99.95833718913582,22.358264918649542,14.840322146866717,False
15,3,retail,normalizer,sell,0.09155782638624999,9.169344811147933,100.05654516501023,0.0,100.06096134321933,99.95833718913582,22.358264918649542,14.840322146866717,False
17,0,retail,submission,sell,0.1960965666987846,19.6893953558571,100.07719565982246,0.06460088212340764,99.89405257969608,99.95438822655196,18.217264852705256,18.21001908426844,False
17,1,retail,normalizer,sell,0.1812153364679432,18.197955138359,100.07719565982246,0.0,99.89405257969608,99.95438822655196,18.217264852705256,18.21001908426844,False
17,2,retail,submission,buy,0.28012141633275095,28.006553291646924,100.07719565982246,0.027212499192380335,99.89405257969608,99.95438822655196,18.217264852705256,18.21001908426844,False
17,3,retail,normalizer,buy,0.1508519302245402,15.062693545967704,100.07719565982246,0.0,99.89405257969608,99.95438822655196,18.217264852705256,18.21001908426844,False
18,0,arb,submission,sell,0.029621531306617044,2.965290906727824,100.13557486812107,-0.0008781591343192119,99.95322779518477,100.04798936451073,20.02033868392798,20.008967364812428,True
18,1,retail,submission,sell,0.18237068520311084,18.298448391242335,100.13557486812107,0.03665498933569111,99.49855605901946,100.04499066603852,16.037179854311255,17.967138925854297,False
18,2,retail,normalizer,sell,0.10862455174098784,10.907062149729263,100.13557486812107,0.0,99.49855605901946,100.04499066603852,16.037179854311255,17.967138925854297,False
18,3,retail,submission,buy,0.38949029680940384,38.84658223894439,100.13557486812107,0.15525253762036328,99.49855605901946,100.04499066603852,16.037179854311255,17.967138925854297,False
18,4,retail,normalizer,buy,0.28573858644599703,28.46913007328112,100.13557486812107,0.0,99.49855605901946,100.04499066603852,16.037179854311255,17.967138925854297,False
18,5,retail,submission,sell,0.05578004547263049,5.5646289639704305,100.13557486812107,-0.020937955601358027,99.49855605901946,100.04499066603852,16.037179854311255,17.967138925854297,False
18,6,retail,submission,buy,0.07783406084603363,7.735627962370927,100.13557486812107,0.05833046476696424,99.49855605901946,100.04499066603852,16.037179854311255,17.967138925854297,False
18,7,retail,normalizer,buy,0.020740791066707606,2.0601752791553736,100.13557486812107,0.0,99.49855605901946,100.04499066603852,16.037179854311255,17.967138925854297,False
