step,event_index,event_type,amm,trade_side,amount_x,amount_y,fair_price,edge,submission_spot,internal_price_estimate,bid_fee_bps,ask_fee_bps,probable_arb
0,0,retail,normalizer,sell,0.014803289730622282,1.4850031523508331,100.0,0.0,100.0,100.0,75.23475497890163,75.23475497890163,False
2,0,arb,normalizer,buy,0.025717527865206848,2.5641392682955484,99.67839436360673,0.0,100.0,100.0,75.23475497890163,75.23475497890163,False
2,1,retail,submission,buy,0.03956303438371029,3.9249971212429955,99.67839436360673,0.018582622277411254,99.92151546317754,99.9998395095417,74.74143865136041,74.73283214567739,False
2,2,retail,normalizer,buy,0.25691764126517663,25.543715622139644,99.67839436360673,0.0,99.92151546317754,99.9998395095417,74.74143865136041,74.73283214567739,False
3,0,arb,normalizer,sell,0.037746241253870494,3.7672650280727242,99.8426241003642,0.0,99.92151546317754,99.9998395095417,74.74143865136041,74.73283214567739,False
4,0,retail,submission,buy,0.13443449922032613,13.314740626197818,99.81775621291175,0.10420944358157058,99.65550245360879,99.09977259597134,75.38258511682973,75.44400882020041,True
4,1,retail,normalizer,buy,0.16949301623762514,16.792931491947456,99.81775621291175,0.0,99.65550245360879,99.09977259597134,75.38258511682973,75.44400882020041,True
5,0,arb,normalizer,sell,0.16655630782599928,16.601026959479817,99.83778655022516,0.0,99.65550245360879,99.09977259597134,75.38258511682973,75.44400882020041,True
6,0,arb,normalizer,sell,0.024142505134904013,2.410914984412395,99.88589919778433,0.0,99.65550245360879,99.09977259597134,75.38258511682973,75.44400882020041,True
6,1,retail,submission,buy,0.03506642191223721,3.4670144708743464,99.88589919778433,0.03562661347835494,99.58629372522111,99.41930147361754,75.11372129917311,75.13215540022875,False
6,2,retail,normalizer,buy,0.22951180206138264,22.735732188652037,99.88589919778433,0.0,99.58629372522111,99.41930147361754,75.11372129917311,75.13215540022875,False
7,0,arb,normalizer,sell,0.2364992780968862,23.57092866416422,99.90120370558397,0.0,99.58629372522111,99.41930147361754,75.11372129917311,75.13215540022875,False
8,0,arb,normalizer,sell,0.07055136445003996,7.053132388030143,100.04203460294946,0.0,99.58629372522111,99.41930147361754,75.11372129917311,75.13215540022875,False
9,0,arb,normalizer,sell,0.001721149482662554,0.17219025592725778,100.0454739906732,0.0,99.58629372522111,99.41930147361754,75.11372129917311,75.13215540022875,False
9,1,retail,normalizer,buy,0.10573652585852315,10.50402612490143,100.0454739906732,0.0,99.58629372522111,99.41930147361754,75.11372129917311,75.13215540022875,False
10,0,arb,normalizer,sell,0.11529044450752224,11.52329209509886,100.06520297664015,0.0,99.58629372522111,99.41930147361754,75.11372129917311,75.13215540022875,False
10,1,retail,normalizer,buy,0.10071589288719321,10.007740697625195,100.06520297664015,0.0,99.58629372522111,99.41930147361754,75.11372129917311,75.13215540022875,False
11,0,arb,normalizer,sell,0.0239152374995939,2.3888600463472036,99.91246127540013,0.0,99.58629372522111,99.41930147361754,75.11372129917311,75.13215540022875,False
11,1,retail,normalizer,buy,0.04541010917932074,4.507817485458872,99.91246127540013,0.0,99.58629372522111,99.41930147361754,75.11372129917311,75.13215540022875,False
12,0,arb,normalizer,sell,0.08544553857232984,8.536640896432187,99.99262688241636,0.0,99.58629372522111,99.41930147361754,75.11372129917311,75.13215540022875,False
12,1,retail,normalizer,sell,0.04541468862585418,4.5431941190177705,99.99262688241636,0.0,99.58629372522111,99.41930147361754,75.11372129917311,75.13215540022875,False
12,2,retail,normalizer,sell,0.06239276856037179,6.248372944048816,99.99262688241636,0.0,99.58629372522111,99.41930147361754,75.11372129917311,75.13215540022875,False
12,3,retail,normalizer,buy,0.08835793200723263,8.793404814940004,99.99262688241636,0.0,99.58629372522111,99.41930147361754,75.11372129917311,75.13215540022875,False
12,4,retail,normalizer,sell,0.04331789778719042,4.335051466127516,99.99262688241636,0.0,99.58629372522111,99.41930147361754,75.11372129917311,75.13215540022875,False
15,0,retail,submission,sell,0.04365974278256601,4.382735588003924,100.05654516501023,0.01429256238737775,99.67312864830315,99.62541666822781,75.67913817862954,75.68439731269827,False
15,1,retail,normalizer,sell,0.15412849208273371,15.45492881613746,100.05654516501023,0.0,99.67312864830315,99.62541666822781,75.67913817862954,75.68439731269827,False
17,0,retail,submission,sell,0.18709424535306596,18.82564751898992,100.07719565982246,0.10178011996431024,100.04652984476529,100.67582853859923,76.13714776675786,76.0682742895263,True
17,1,retail,normalizer,sell,0.1894454973341908,19.06170297522618,100.07719565982246,0.0,100.04652984476529,100.67582853859923,76.13714776675786,76.0682742895263,True
17,2,retail,normalizer,buy,0.43097334655729114,43.00068815789746,100.07719565982246,0.0,100.04652984476529,100.67582853859923,76.13714776675786,76.0682742895263,True
18,0,arb,normalizer,sell,0.09458663742000795,9.462544389859422,100.13557486812107,0.0,100.04652984476529,100.67582853859923,76.13714776675786,76.0682742895263,True
18,1,retail,normalizer,sell,0.2908122055256541,29.2055105409716,100.13557486812107,0.0,99.74982294619825,99.41664809377245,75.99817701152223,70.0349261291908,False
18,2,retail,submission,buy,0.12855095585588058,12.746891196271463,100.13557486812107,0.1256326682035933,99.74982294619825,99.41664809377245,75.99817701152223,70.0349261291908,False
18,3,retail,normalizer,buy,0.5466779273995203,54.43425070968988,100.13557486812107,0.0,99.74982294619825,99.41664809377245,75.99817701152223,70.0349261291908,False
18,4,retail,normalizer,sell,0.055822551980071466,5.5646289639704305,100.13557486812107,0.0,99.74982294619825,99.41664809377245,75.99817701152223,70.0349261291908,False
