step,fair_price,internal_price_estimate,p_low,p_high,bid_fee_bps,ask_fee_bps,internal_times_1_minus_bid,internal_times_1_plus_ask,rel_error_bps,in_user_band,in_filter_band,status
28,100.0667984022594,100.21253178544721,99.99357893239291,101.14521838896972,13.999999999999988,100.0,100.0722342409476,101.21465710330169,14.553015408229268,False,True,bad
29,100.06716708468291,100.21253178544721,99.99357893239291,101.14521838896972,13.999999999999988,100.0,100.0722342409476,101.21465710330169,14.51617184470767,False,True,bad
30,99.9609806902627,100.23608291609602,99.9609806902627,101.11224470851384,13.999999999999988,100.0,100.0957524000135,101.23844374525699,27.483160245914178,False,True,bad
31,99.9593766071862,100.24503643002512,99.50277637071392,101.57786053326335,13.999999999999988,100.0,100.10469337902309,101.24748679432538,28.53683516376082,False,True,bad
32,99.93533851370407,100.21037016980307,99.93533851370408,101.08630720756946,13.999999999999988,100.0,100.07007565156535,101.2124738715011,27.483160245910838,False,False,bad
33,99.76435864217486,100.0723073084102,99.76435864217486,100.91335813793336,13.999999999999988,100.0,99.93220607817844,101.0730303814943,30.820060826311472,False,True,bad
34,99.71639940972189,99.99082852436504,99.71639940972187,100.86484655256943,13.999999999999988,100.0,99.85084136443093,100.99073680960869,27.483160245905275,False,True,bad
35,99.78298073759346,99.99082852436504,99.71639940972187,100.86484655256943,13.999999999999988,100.0,99.85084136443093,100.99073680960869,20.808319422397,False,True,bad
36,99.81760794956308,99.9997601311271,99.14139756088052,101.4498440881873,13.999999999999988,100.0,99.85976046694353,100.99975773243838,18.231871810741243,False,True,bad
37,99.79267885731696,100.06731790033093,99.79267885731696,100.94200452079068,13.999999999999988,100.0,99.92722365527048,101.06799107933425,27.483160245908614,False,True,bad
38,99.7554356748064,100.03235483716662,99.7554356748064,100.90433240355325,13.999999999999988,100.0,99.89230954039459,101.03267838553829,27.721347634708053,False,True,bad
39,99.81790572786922,100.03235483716662,99.7554356748064,100.90433240355325,13.999999999999988,100.0,99.89230954039459,101.03267838553829,21.46098694083756,False,True,bad
