step,fair_price,submission_spot,internal_pool_price_x_per_y,normalizer_spot,internal_price_estimate,p_low,p_high,bid_fee_bps,ask_fee_bps,lambda_hat,arb_hat,stale_hat,inventory_signed,required_no_arb_bid_bps,required_no_arb_ask_bps
0,100.0,100.0198226225385,0.009998018130604639,100.00979155016637,100.14009804574935,99.72976513693314,100.29999999999998,28.999999999999996,28.999999999999996,0.8160000000000001,0.55,7.210760513024374e-05,0.0006008966370954095,0.0,12.010715543329109
1,99.83181263869632,100.0198226225385,0.009998018130604639,100.00979155016637,100.14009804574935,99.72976513693314,100.29999999999998,28.999999999999996,28.999999999999996,0.8160000000000001,0.55,7.210760513024374e-05,0.0006008966370954095,0.0,12.010715543329109
2,99.67839436360673,99.67348321488248,0.010032758640973105,99.68348055522502,99.99974637964928,99.67839436360673,100.25905369640428,28.999999999999996,28.999999999999996,0.9247616000000001,0.45220000000000005,0.000179633755413985,0.001633985514379287,0.0,32.626399223868454
3,99.8426241003642,99.67348321488248,0.010032758640973105,99.68348055522502,99.99974637964928,99.67839436360673,100.25905369640428,28.999999999999996,28.999999999999996,0.9247616000000001,0.45220000000000005,0.000179633755413985,0.001633985514379287,0.0,32.626399223868454
4,99.81775621291175,99.37261055780354,0.010063135046837831,99.38257772034693,99.99880291759135,99.39398708188521,100.54593629128675,25.999999999999993,63.61998559161208,0.8907806720000001,0.40698000000000006,0.0005457569565862114,0.003140833226148987,0.0,62.61998559161208
5,99.83778655022516,99.37261055780354,0.010063135046837831,99.53827319057449,99.99880291759135,99.39398708188521,100.54593629128675,25.999999999999993,63.61998559161208,0.8907806720000001,0.40698000000000006,0.0005457569565862114,0.003140833226148987,0.0,62.61998559161208
6,99.88589919778433,99.19819722702125,0.010080828361340454,99.23799590193681,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,80.97074325556297,0.8595182182400002,0.36628200000000005,0.0009947648851722926,0.004014589648681745,0.0,79.97074325556297
7,99.90120370558397,99.19819722702125,0.010080828361340454,99.60150009446724,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,80.97074325556297,0.8595182182400002,0.36628200000000005,0.0009947648851722926,0.004014589648681745,0.0,79.97074325556297
8,100.04203460294946,99.23198681308949,0.010077395728088879,99.74190849914062,99.85798867723838,99.00375324341938,100.04203460294944,22.99999999999999,80.97074325556297,0.8307567607808003,0.4296538000000001,0.00131239819700265,0.003144316345447055,0.0,62.689212194354525
9,100.0454739906732,99.23539835183522,0.010077049284918867,99.53563504937259,99.84787868420212,98.60808192253998,100.44345975191347,19.999999999999986,80.97074325556297,0.8442962199183363,0.3866884200000001,0.0016028358500188888,0.0030765031673455753,0.0,61.34134650011447
10,100.06520297664015,99.25496759073641,0.01007506248073503,99.56518802148786,99.82217115977457,99.05645765555495,100.06520297664017,19.999999999999986,80.97074325556297,0.8567525223248693,0.44801957800000014,0.00184856639584872,0.002849164763961039,0.0,56.821401743534224
11,99.91246127540013,99.25496759073641,0.01007506248073503,99.5227626086364,99.82217115977457,99.05645765555495,100.06520297664017,19.999999999999986,80.97074325556297,0.8567525223248693,0.44801957800000014,0.00184856639584872,0.002849164763961039,0.0,56.821401743534224
12,99.99262688241636,99.32580463184603,0.010067877161494225,99.74699999584828,99.82911770603309,99.06543866243345,100.07427544195438,16.999999999999986,80.97074325556297,0.9540056100203262,0.3824453913520001,0.002106414882703312,0.002527243958013467,0.0,50.417461934217926
13,99.95253665671771,99.32580463184603,0.010067877161494225,99.74699999584828,99.82911770603309,99.06543866243345,100.07427544195438,16.999999999999986,80.97074325556297,0.9540056100203262,0.3824453913520001,0.002106414882703312,0.002527243958013467,0.0,50.417461934217926
14,100.03152588873687,99.32580463184603,0.010067877161494225,99.74699999584828,99.82911770603309,99.06543866243345,100.07427544195438,16.999999999999986,80.97074325556297,0.9540056100203262,0.3824453913520001,0.002106414882703312,0.002527243958013467,0.0,50.417461934217926
15,100.05654516501023,99.48255423579066,0.010052013719207782,99.99376350830212,99.96897634902805,99.31343389358982,100.29464745065407,16.999999999999986,80.97074325556297,0.9043518278853668,0.44420085221680017,0.002272686401763684,0.0024387985983920276,0.0,48.65730659670997
16,99.97388834514528,99.48255423579066,0.010052013719207782,99.99376350830212,99.96897634902805,99.31343389358982,100.29464745065407,16.999999999999986,80.97074325556297,0.9043518278853668,0.44420085221680017,0.002272686401763684,0.0024387985983920276,0.0,48.65730659670997
17,100.07719565982246,99.62019290053529,0.010038125513352893,99.75008883912174,99.96269782347098,98.53587473635741,101.0860853077321,16.999999999999986,80.97074325556297,0.9881628716905393,0.3038333829162913,0.002170817907869652,0.0017161036283883007,0.0,34.263273240237034
18,100.13557486812107,99.22594962514047,0.010078008865401012,99.38518886225201,99.95542523169964,98.02125338013711,101.61679733723783,10.999999999999988,80.97074325556297,1.5438144278456023,0.15794474577520487,0.0023174406842034335,0.0036623685677612556,0.0,72.98009136254669
19,100.11344546636744,99.32976119577643,0.0100674761316402,99.84018531334858,99.88998641335164,99.19358635603554,100.11344546636742,8.0,80.97074325556297,1.5882412334220042,0.18403420611024016,0.002550004810051555,0.002812096814189242,0.0,56.084222021710595
20,100.0115430175656,99.32976119577643,0.0100674761316402,99.84018531334858,99.88998641335164,99.19358635603554,100.11344546636742,8.0,80.97074325556297,1.5882412334220042,0.18403420611024016,0.002550004810051555,0.002812096814189242,0.0,56.084222021710595
21,99.98132429804349,99.32976119577643,0.0100674761316402,99.74983703636401,99.88998641335164,99.19358635603554,100.11344546636742,8.0,80.97074325556297,1.5882412334220042,0.18403420611024016,0.002550004810051555,0.002812096814189242,0.0,56.084222021710595
22,99.88417390966177,100.21370835535701,0.00997867473833029,100.7286747968357,99.88285222630702,98.20945937469085,101.11665171051281,8.0,80.97074325556297,1.4878486014149106,0.16563078549921614,0.0025954225829739725,-0.0016534823391677396,33.015056969728505,0.0
23,99.92738125027716,100.00738716000518,0.009999261338565584,100.22806544661701,100.02278615031479,99.92738125027718,100.82376467637216,8.0,80.97074325556297,1.448820713301718,0.24906770694929453,0.002448935228494271,7.698333733743292e-05,0.0,1.5395482271873817
24,99.75791687241569,99.83778710209738,0.010016247645566977,100.05809114585327,99.97195580271443,99.7579168724157,100.6527801439972,8.0,80.97074325556297,1.4129150562375805,0.3241609362543651,0.002382576999825592,0.0006714822744203285,0.0,13.420633770716561
25,100.03476597428987,99.83778710209738,0.010016247645566977,100.08746109149455,99.97195580271443,99.7579168724157,100.6527801439972,8.0,80.97074325556297,1.4129150562375805,0.3241609362543651,0.002382576999825592,0.0006714822744203285,0.0,13.420633770716561
26,100.12666195291955,100.44877981382818,0.009955322522119238,100.9344267013848,99.98072119238046,99.01151560868674,101.41155412938122,47.59674535770652,74.97074325556297,1.353107844356088,0.22172608039798572,0.0024648398981574893,-0.0023352780858005105,46.596745357706524,0.0
27,99.99357893239292,100.44877981382818,0.009955322522119238,100.29446231935098,99.98072119238046,99.01151560868674,101.41155412938122,47.59674535770652,74.97074325556297,1.353107844356088,0.22172608039798572,0.0024648398981574893,-0.0023352780858005105,46.596745357706524,0.0
28,100.0667984022594,100.44877981382818,0.009955322522119238,100.30847235604341,99.98072119238046,99.01151560868674,101.41155412938122,47.59674535770652,74.97074325556297,1.353107844356088,0.22172608039798572,0.0024648398981574893,-0.0023352780858005105,46.596745357706524,0.0
29,100.06716708468291,100.44877981382818,0.009955322522119238,100.40436088868383,99.98072119238046,99.01151560868674,101.41155412938122,47.59674535770652,74.97074325556297,1.353107844356088,0.22172608039798572,0.0024648398981574893,-0.0023352780858005105,46.596745357706524,0.0
30,99.9609806902627,100.43903782097652,0.009956288129545897,100.26176598822737,100.12079222889709,99.96098069026273,101.19772468451352,49.59674535770652,71.97074325556297,1.264859216807601,0.2995534723581872,0.002507364020935666,-0.0015867863071099557,31.685448107009464,0.0
31,99.9593766071862,100.43903782097652,0.009956288129545897,100.26015707842146,100.12079222889709,99.96098069026273,101.19772468451352,49.59674535770652,71.97074325556297,1.264859216807601,0.2995534723581872,0.002507364020935666,-0.0015867863071099557,31.685448107009464,0.0
32,99.93533851370407,100.43345576681016,0.009956841496341958,100.33265126411476,100.13446179971318,99.19100960285587,101.98327291545108,49.59674535770652,71.97074325556297,1.2036704794629929,0.26959812512236847,0.002535810723097234,-0.0014907367575265858,29.770355387470637,0.0
33,99.76435864217486,100.22571207537126,0.009977479623671666,100.0488167560448,100.05931744615864,99.76435864217487,100.98844500872626,45.59674535770652,65.97074325556297,1.3441539360626438,0.26040511758370005,0.0024058382892851956,-0.0008307891488951264,16.601990224572873,0.0
34,99.71639940972189,100.17315640012733,0.009982714291298192,100.49446530322314,99.98453448359183,99.71639940972189,100.83839478539637,43.59674535770652,62.97074325556297,1.3166216211776325,0.33436460582533006,0.002374572013754031,-0.0009423665695917388,18.829587018509564,0.0
35,99.78298073759346,100.17315640012733,0.009982714291298192,100.15637976598985,99.98453448359183,99.71639940972189,100.83839478539637,43.59674535770652,62.97074325556297,1.3166216211776325,0.33436460582533006,0.002374572013754031,-0.0009423665695917388,18.829587018509564,0.0
36,99.81760794956308,100.3546802320267,0.009964657330260368,100.6876538311714,99.99326096019436,98.99938804504278,101.56872531051268,43.59674535770652,59.97074325556297,1.251291891483422,0.30092814524279704,0.002448572888072009,-0.0018039580026708974,36.01419196361366,0.0
37,99.79267885731696,100.2296474992487,0.009977087867215094,100.0929577305085,100.04169637103347,99.79267885731696,100.83435864259816,43.59674535770652,56.97074325556297,1.2311885401647482,0.3708353307185174,0.002414276433914207,-0.0009384823838650034,18.752049209456167,0.0
38,99.7554356748064,100.16514536469583,0.009983512691556075,100.02854356176287,99.99921498983191,99.7554356748064,100.76631442037707,41.59674535770651,50.97074325556297,1.3639008964222235,0.32965136621146585,0.002292938433344922,-0.000828970624790652,16.565680033685524,0.0
39,99.81790572786922,100.16514536469583,0.009983512691556075,100.02854356176287,99.99921498983191,99.7554356748064,100.76631442037707,41.59674535770651,50.97074325556297,1.3639008964222235,0.32965136621146585,0.002292938433344922,-0.000828970624790652,16.565680033685524,0.0
40,99.67022798737001,99.7510696889535,0.01002495515204225,99.7318087586798,99.89626429372592,99.67022798737,100.59931768291816,35.59674535770651,44.97074325556297,1.5339895209526184,0.22912596621136844,0.0020715219360601987,0.0007272554152163872,0.0,14.534537982872076
